ip.len,udp.length,dns.flags.recdesired,dns.flags.recavail,dns.flags.checkdisable,dns.count.answers,dns.count.auth_rr,dns.qry.name,dns.qry.type,target
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
376.0,356.0,0.0,0.0,0.0,0.0,5.0,70444730.0,12.0,0.0
716.0,696.0,0.0,0.0,1.0,0.0,8.0,2266274.0,1.0,0.0
426.0,406.0,0.0,0.0,1.0,0.0,6.0,32138516.0,12.0,0.0
434.0,414.0,0.0,0.0,0.0,0.0,7.0,8184524.0,12.0,0.0
365.0,345.0,0.0,0.0,1.0,0.0,4.0,22819432.0,12.0,0.0
1500.0,4092.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
74.0,54.0,1.0,1.0,0.0,0.0,0.0,70575140.0,1.0,1.0
348.0,328.0,0.0,0.0,0.0,0.0,4.0,95422904.0,12.0,0.0
349.0,329.0,0.0,0.0,0.0,0.0,4.0,82370410.0,12.0,0.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
184.0,164.0,0.0,0.0,0.0,0.0,4.0,15623211.0,12.0,0.0
689.0,669.0,0.0,0.0,0.0,0.0,7.0,88593400.0,28.0,0.0
1500.0,4086.0,1.0,1.0,0.0,252.0,0.0,70575140.0,1.0,1.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
177.0,157.0,0.0,0.0,1.0,0.0,3.0,47204470.0,28.0,0.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
518.0,498.0,1.0,0.0,0.0,0.0,13.0,70575140.0,1.0,1.0
604.0,584.0,0.0,0.0,0.0,0.0,6.0,72560520.0,5.0,0.0
74.0,54.0,1.0,0.0,0.0,0.0,0.0,70575140.0,1.0,1.0
661.0,641.0,0.0,0.0,0.0,0.0,8.0,70023820.0,28.0,0.0
483.0,463.0,0.0,0.0,0.0,0.0,4.0,3600454.0,12.0,0.0
162.0,142.0,0.0,0.0,0.0,0.0,3.0,16787120.0,12.0,0.0
715.0,695.0,0.0,0.0,1.0,0.0,8.0,71671420.0,1.0,0.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
480.0,460.0,0.0,0.0,0.0,0.0,4.0,99134420.0,12.0,0.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
627.0,607.0,0.0,0.0,1.0,0.0,6.0,9426052.0,1.0,0.0
734.0,714.0,0.0,0.0,1.0,0.0,8.0,74465480.0,99.0,0.0
271.0,251.0,0.0,0.0,1.0,2.0,0.0,49048370.0,28.0,0.0
372.0,352.0,0.0,0.0,0.0,0.0,6.0,89537880.0,12.0,0.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
791.0,771.0,0.0,0.0,1.0,0.0,6.0,97602750.0,43.0,0.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
379.0,359.0,0.0,0.0,1.0,2.0,0.0,31224076.0,28.0,0.0
259.0,239.0,0.0,0.0,1.0,2.0,0.0,49048370.0,1.0,0.0
264.0,244.0,0.0,0.0,1.0,2.0,0.0,62380696.0,1.0,0.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
285.0,265.0,1.0,0.0,0.0,0.0,13.0,70575140.0,1.0,1.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
603.0,583.0,0.0,0.0,0.0,0.0,6.0,61329316.0,1.0,0.0
609.0,589.0,0.0,0.0,1.0,0.0,6.0,36728830.0,1.0,0.0
1500.0,4086.0,1.0,1.0,0.0,252.0,0.0,70575140.0,1.0,1.0
389.0,369.0,0.0,0.0,1.0,0.0,4.0,58379564.0,12.0,0.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
854.0,834.0,0.0,0.0,1.0,0.0,6.0,76074990.0,12.0,0.0
390.0,370.0,0.0,0.0,1.0,0.0,5.0,45594908.0,12.0,0.0
474.0,454.0,1.0,0.0,0.0,0.0,13.0,70575140.0,1.0,1.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
771.0,751.0,0.0,0.0,0.0,0.0,6.0,5962164.0,12.0,0.0
823.0,803.0,0.0,0.0,0.0,0.0,6.0,43942436.0,12.0,0.0
612.0,592.0,0.0,0.0,0.0,0.0,6.0,89648660.0,1.0,0.0
400.0,380.0,0.0,0.0,1.0,0.0,5.0,56000080.0,12.0,0.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
389.0,369.0,0.0,0.0,0.0,0.0,5.0,91241960.0,12.0,0.0
347.0,327.0,0.0,0.0,0.0,0.0,4.0,17202128.0,12.0,0.0
74.0,54.0,1.0,0.0,0.0,0.0,0.0,70575140.0,1.0,1.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
499.0,479.0,0.0,0.0,0.0,0.0,4.0,30643092.0,12.0,0.0
381.0,361.0,0.0,0.0,0.0,0.0,5.0,65143296.0,12.0,0.0
806.0,786.0,0.0,0.0,0.0,0.0,6.0,64324456.0,12.0,0.0
356.0,336.0,0.0,0.0,0.0,0.0,4.0,97609410.0,12.0,0.0
293.0,273.0,0.0,0.0,0.0,2.0,0.0,64431904.0,1.0,0.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
180.0,160.0,0.0,0.0,1.0,0.0,3.0,99437040.0,1.0,0.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
375.0,355.0,0.0,0.0,0.0,0.0,5.0,68715290.0,12.0,0.0
391.0,371.0,0.0,0.0,1.0,0.0,6.0,51760020.0,12.0,0.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
74.0,54.0,1.0,0.0,0.0,0.0,0.0,70575140.0,1.0,1.0
752.0,732.0,0.0,0.0,1.0,0.0,9.0,94388260.0,28.0,0.0
770.0,750.0,0.0,0.0,0.0,0.0,6.0,27271988.0,12.0,0.0
827.0,807.0,0.0,0.0,0.0,0.0,6.0,22099700.0,12.0,0.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
74.0,54.0,1.0,0.0,0.0,0.0,0.0,70575140.0,1.0,1.0
1500.0,4086.0,1.0,1.0,0.0,252.0,0.0,70575140.0,1.0,1.0
74.0,54.0,1.0,0.0,0.0,0.0,0.0,70575140.0,1.0,1.0
1500.0,4086.0,1.0,1.0,0.0,252.0,0.0,70575140.0,1.0,1.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
74.0,54.0,1.0,0.0,0.0,0.0,0.0,70575140.0,1.0,1.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
581.0,561.0,0.0,0.0,1.0,0.0,7.0,72662400.0,1.0,0.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
1500.0,4086.0,1.0,1.0,0.0,252.0,0.0,70575140.0,1.0,1.0
1500.0,4103.0,1.0,1.0,0.0,252.0,1.0,70575140.0,1.0,1.0
